HOG	OG	Gene Tree Parent Clade	Aar	Ath	Chi	Cru	Tar
N0.HOG0018021	OG0015969	n0	Aa31LG3G17800	AT5G08770.1	CARHR204240.1	Carub.0006s0774.1.p	
N0.HOG0018022	OG0015970	n0	Aa31LG3G18010	AT5G08530.1	CARHR204460.1	Carub.0006s0748.1.p	
N0.HOG0018023	OG0015971	n0	Aa31LG3G18030	AT5G08510.1	CARHR204480.1	Carub.0006s0744.1.p	
N0.HOG0018024	OG0015972	n0	Aa31LG3G18050	AT5G08490.3	CARHR204500.1	Carub.0006s0741.1.p	
N0.HOG0018025	OG0015973	n0	Aa31LG3G18060	AT5G08480.2	CARHR204510.1	Carub.0006s0740.1.p	
N0.HOG0018026	OG0015974	n0	Aa31LG3G18090		CARHR204560.1		gene-TAV2_LOCUS20985, gene-TAV2_LOCUS15714
N0.HOG0018027	OG0015975	n0	Aa31LG3G18150	AT5G08410.2	CARHR204630.1	Carub.0006s0732.1.p	
N0.HOG0018028	OG0015976	n0	Aa31LG3G18280	AT5G08290.1	CARHR204840.1	Carub.0006s0717.1.p	
N0.HOG0018029	OG0015977	n0	Aa31LG3G18360	AT5G08180.1	CARHR205000.1	Carub.0006s0708.1.p	
N0.HOG0018030	OG0015978	n0	Aa31LG3G18390	AT5G08150.1	CARHR205030.1	Carub.0006s0705.1.p	
N0.HOG0018031	OG0015979	n0	Aa31LG3G18400	AT5G08139.1	CARHR205050.1	Carub.0006s0703.1.p	
N0.HOG0018032	OG0015980	n0	Aa31LG3G18450	AT5G08100.1	CARHR205090.1		gene-TAV2_LOCUS21380
N0.HOG0018033	OG0015981	n0	Aa31LG3G18480	AT5G08060.1	CARHR205120.1	Carub.0006s0695.1.p	
N0.HOG0018034	OG0015982	n0	Aa31LG3G18820	AT5G07610.1	CARHR205550.1	Carub.0006s0659.1.p	
N0.HOG0018035	OG0015983	n0	Aa31LG3G18840	AT5G07580.1	CARHR205570.1	Carub.0006s0656.1.p	
N0.HOG0018036	OG0015984	n0	Aa31LG3G18900	AT5G07500.1	CARHR205630.1	Carub.0006s0649.1.p	
N0.HOG0018037	OG0015985	n0	Aa31LG3G18930	AT5G07475.1	CARHR205660.1	Carub.0006s0646.1.p	
N0.HOG0018038	OG0015986	n0	Aa31LG3G19000	AT5G07370.4	CARHR205780.1	Carub.0006s0634.1.p	
N0.HOG0018039	OG0015987	n0	Aa31LG3G19100	AT5G07280.1	CARHR205870.1	Carub.0006s0624.1.p	
N0.HOG0018040	OG0015988	n0	Aa31LG4G30	AT3G27750.1	CARHR063820.1	Carub.0002s2770.1.p	
N0.HOG0018041	OG0015989	n0	Aa31LG4G200	AT1G15270.1	CARHR015790.1	Carub.0001s1503.1.p	
N0.HOG0018042	OG0015990	n0	Aa31LG4G270	AT1G79960.1	CARHR074530.1	Carub.0002s2754.1.p	
N0.HOG0018043	OG0015991	n0	Aa31LG4G280	AT1G79970.1	CARHR074510.1		gene-TAV2_LOCUS15882
N0.HOG0018044	OG0015992	n0	Aa31LG4G440	AT1G80150.1	CARHR074340.1	Carub.0002s2736.1.p	
N0.HOG0018045	OG0015993	n0	Aa31LG4G570	AT1G80290.2	CARHR074200.1	Carub.0003s3026.1.p	
N0.HOG0018046	OG0015994	n0	Aa31LG4G680	AT1G80410.2	CARHR074830.1	Carub.0002s2716.1.p	
N0.HOG0018047	OG0015995	n0	Aa31LG4G690	AT1G80420.5	CARHR074820.1	Carub.0002s2715.1.p	
N0.HOG0018048	OG0015996	n0	Aa31LG4G700	AT1G80440.1	CARHR074810.1	Carub.0002s2714.1.p	
N0.HOG0018049	OG0015997	n0	Aa31LG4G710	AT1G80450.1	CARHR074800.1	Carub.0002s2713.1.p	
N0.HOG0018050	OG0015998	n0	Aa31LG4G770	AT1G80510.1	CARHR074030.1	Carub.0002s2705.1.p	
N0.HOG0018051	OG0015999	n0	Aa31LG4G850	AT1G80570.2	CARHR073940.1	Carub.0002s2697.1.p	
N0.HOG0018052	OG0016000	n0	Aa31LG4G860	AT1G80580.1	CARHR073930.1	Carub.0002s2696.1.p	
N0.HOG0018053	OG0016001	n0	Aa31LG4G910	AT1G80630.1	CARHR073890.1	Carub.0002s2711.1.p	
N0.HOG0018054	OG0016002	n0	Aa31LG4G930	AT1G80650.1	CARHR073870.1	Carub.0002s2691.1.p	
N0.HOG0018055	OG0016003	n0	Aa31LG4G1000	AT1G80730.1	CARHR073760.1	Carub.0002s2682.1.p	
N0.HOG0018056	OG0016004	n0	Aa31LG4G1190	AT1G80880.2	CARHR073590.1	Carub.0002s2664.1.p	
N0.HOG0018057	OG0016005	n0	Aa31LG4G1470	AT1G79540.1	CARHR036700.1	Carub.0002s2640.1.p	
N0.HOG0018058	OG0016006	n0	Aa31LG4G1780	AT2G21820.1	CARHR072880.1	Carub.0004s0086.1.p	
N0.HOG0018059	OG0016007	n0	Aa31LG4G1930	AT1G79060.1	CARHR072730.1	Carub.0002s2593.1.p	
N0.HOG0018060	OG0016008	n0	Aa31LG4G1990	AT1G78995.1	CARHR072660.1	Carub.0002s2586.1.p	
N0.HOG0018061	OG0016009	n0	Aa31LG4G2440	AT1G78530.1	CARHR072020.1	Carub.0002s2538.1.p	
N0.HOG0018062	OG0016010	n0	Aa31LG4G2550	AT1G78410.2	CARHR071930.1	Carub.0002s2531.1.p	
N0.HOG0018063	OG0016011	n0	Aa31LG4G2710	AT1G72350.1	CARHR065260.1	Carub.0002s1921.1.p	
N0.HOG0018064	OG0016012	n0	Aa31LG4G2740	AT1G72410.1	CARHR065300.1	Carub.0002s1925.1.p	
N0.HOG0018065	OG0016013	n0	Aa31LG4G2800	AT1G72470.1	CARHR065420.1	Carub.0002s1932.1.p	
N0.HOG0018066	OG0016014	n0	Aa31LG4G2900	AT1G72600.2	CARHR065530.1	Carub.0002s1944.1.p	
N0.HOG0018067	OG0016015	n0	Aa31LG4G3140	AT1G72790.1	CARHR065700.1	Carub.0002s1963.1.p	
N0.HOG0018068	OG0016016	n0	Aa31LG4G3210	AT1G72890.2	CARHR065880.1	Carub.0002s1969.1.p	
N0.HOG0018069	OG0016017	n0	Aa31LG4G3260	AT1G73000.1	CARHR065970.1	Carub.0002s1976.1.p	
N0.HOG0018070	OG0016018	n0	Aa31LG4G3360	AT1G73090.2	CARHR066060.1	Carub.0002s1986.1.p	
N0.HOG0018071	OG0016019	n0	Aa31LG4G3420	AT1G73150.1	CARHR066120.1	Carub.0002s1992.1.p	
N0.HOG0018072	OG0016020	n0	Aa31LG4G3430	AT1G73160.1	CARHR066130.1	Carub.0002s1993.1.p	
N0.HOG0018073	OG0016021	n0	Aa31LG4G3440	AT1G73165.1	CARHR066140.1	Carub.0002s1994.1.p	
N0.HOG0018074	OG0016022	n0	Aa31LG4G3460	AT1G73177.1	CARHR066170.1	Carub.0002s1996.1.p	
N0.HOG0018075	OG0016023	n0	Aa31LG4G3620	AT1G73350.5	CARHR066400.1	Carub.0002s2009.1.p	
N0.HOG0018076	OG0016024	n0	Aa31LG4G3670	AT1G73400.1	CARHR066460.1	Carub.0002s2015.1.p	
N0.HOG0018077	OG0016025	n0	Aa31LG4G3960	AT1G73655.1	CARHR066720.1	Carub.0002s2040.1.p	
N0.HOG0018078	OG0016026	n0	Aa31LG4G4190	AT1G73880.1	CARHR066990.1	Carub.0002s2065.1.p	
N0.HOG0018079	OG0016027	n0	Aa31LG4G4260	AT1G73965.1	CARHR067080.1	Carub.0002s2074.1.p	
N0.HOG0018080	OG0016028	n0	Aa31LG4G4360	AT1G74055.1	CARHR067210.1	Carub.0002s2086.1.p	
N0.HOG0018081	OG0016029	n0	Aa31LG4G4410	AT1G74100.1	CARHR067260.1	Carub.0002s2090.1.p	
N0.HOG0018082	OG0016030	n0	Aa31LG4G4510	AT1G74220.1	CARHR067480.1	Carub.0002s2101.1.p	
N0.HOG0018083	OG0016031	n0	Aa31LG4G4520	AT1G74230.1	CARHR067490.1	Carub.0002s2102.1.p	
N0.HOG0018084	OG0016032	n0	Aa31LG4G4540	AT1G74250.1	CARHR067510.1	Carub.0002s2104.1.p	
N0.HOG0018085	OG0016033	n0	Aa31LG4G4590	AT1G74340.2	CARHR067600.1	Carub.0002s2112.1.p	
N0.HOG0018086	OG0016034	n0	Aa31LG4G4600	AT1G74350.1	CARHR067610.1		gene-TAV2_LOCUS17128
N0.HOG0018087	OG0016035	n0	Aa31LG4G4620	AT1G74370.1	CARHR067630.1	Carub.0002s2114.1.p	
N0.HOG0018088	OG0016036	n0	Aa31LG4G4650	AT1G74400.1	CARHR067660.1	Carub.0002s2117.1.p	
N0.HOG0018089	OG0016037	n0	Aa31LG4G4760	AT1G74500.1	CARHR067780.1	Carub.0002s2130.1.p	
N0.HOG0018090	OG0016038	n0	Aa31LG4G4820	AT1G74580.1	CARHR067850.1	Carub.0002s2137.1.p	
N0.HOG0018091	OG0016039	n0	Aa31LG4G4860	AT1G74630.2	CARHR067930.1	Carub.0002s2142.1.p	
N0.HOG0018092	OG0016040	n0	Aa31LG4G4950	AT1G74720.1	CARHR068020.1	Carub.0002s2151.1.p	
N0.HOG0018093	OG0016041	n0	Aa31LG4G5110	AT1G74900.1	CARHR068220.1	Carub.0002s2169.1.p	
N0.HOG0018094	OG0016042	n0	Aa31LG4G5140	AT1G74930.1	CARHR068250.1	Carub.0002s2172.1.p	
N0.HOG0018095	OG0016043	n0	Aa31LG4G5490	AT1G75260.1	CARHR068590.1	Carub.0002s2208.1.p	
N0.HOG0018096	OG0016044	n0	Aa31LG4G5570	AT5G42120.1	CARHR194620.1	Carub.0008s0723.1.p	
N0.HOG0018097	OG0016045	n0	Aa31LG4G5600	AT1G75390.1	CARHR068760.1	Carub.0002s2225.1.p	
N0.HOG0018098	OG0016046	n0	Aa31LG4G5690	AT1G19730.1	CARHR020260.1	Carub.0001s1928.1.p	
N0.HOG0018099	OG0016047	n0	Aa31LG4G5820	AT1G75590.1	CARHR068980.1	Carub.0002s2244.1.p	
N0.HOG0018100	OG0016048	n0	Aa31LG4G5880	AT1G75640.1	CARHR069040.1	Carub.0002s2248.1.p	
N0.HOG0018101	OG0016049	n0	Aa31LG4G5910		CARHR069080.1	Carub.0002s2252.1.p	gene-TAV2_LOCUS16961
N0.HOG0018102	OG0016050	n0	Aa31LG4G6190	AT1G76070.1	CARHR069610.1	Carub.0002s2296.1.p	
N0.HOG0018103	OG0016051	n0	Aa31LG4G6320	AT1G76220.1	CARHR069780.1	Carub.0002s2312.1.p	
N0.HOG0018104	OG0016052	n0	Aa31LG4G6330	AT1G76240.1	CARHR069800.1	Carub.0002s2313.1.p	
N0.HOG0018105	OG0016053	n0	Aa31LG4G6820	AT1G76750.1	CARHR070290.1	Carub.0002s2366.1.p	
N0.HOG0018106	OG0016054	n0	Aa31LG4G6950	AT1G76920.1	CARHR070420.1	Carub.0002s2378.1.p	
N0.HOG0018107	OG0016055	n0	Aa31LG4G7090	AT1G77030.1	CARHR070560.1	Carub.0002s2395.1.p	
N0.HOG0018108	OG0016056	n0	Aa31LG4G7150, Aa31LG7G5410	AT1G77120.1		Carub.0002s2400.1.p	
N0.HOG0018109	OG0016057	n0	Aa31LG4G7160	AT1G77122.1	CARHR070600.1	Carub.0002s2401.1.p	
N0.HOG0018110	OG0016058	n0	Aa31LG4G7200	AT1G77200.1	CARHR070670.1	Carub.0002s2407.1.p	
N0.HOG0018111	OG0016059	n0	Aa31LG4G7230	AT1G77230.1	CARHR070700.1	Carub.0002s2410.1.p	
N0.HOG0018112	OG0016060	n0	Aa31LG4G7270	AT3G51500.1	CARHR161080.1	Carub.0005s1788.1.p	
N0.HOG0018113	OG0016061	n0	Aa31LG4G7300	AT1G77290.1	CARHR070800.1	Carub.0002s2417.1.p	
N0.HOG0018114	OG0016062	n0	Aa31LG4G7390	AT1G77380.1	CARHR070860.1	Carub.0002s2427.1.p	
N0.HOG0018115	OG0016063	n0	Aa31LG4G7420	AT1G77400.1	CARHR070880.1	Carub.0002s2429.1.p	
N0.HOG0018116	OG0016064	n0	Aa31LG4G7600, Aa31LG4G7620, Aa31LG4G7580, Aa31LG4G7590				
N0.HOG0018117	OG0016065	n0	Aa31LG4G7820	AT1G77700.1	CARHR071210.1	Carub.0002s2458.1.p	
N0.HOG0018118	OG0016066	n0	Aa31LG4G8120	AT1G78080.1	CARHR071540.1	Carub.0002s2497.1.p	
N0.HOG0018119	OG0016067	n0	Aa31LG4G8150	AT1G78100.1	CARHR071560.1	Carub.0002s2499.1.p	
N0.HOG0018120	OG0016068	n0	Aa31LG4G8160	AT1G78110.1	CARHR071570.1	Carub.0002s2500.1.p	
N0.HOG0018121	OG0016069	n0	Aa31LG4G8340	AT1G72220.1	CARHR065080.1	Carub.0002s1903.1.p	
N0.HOG0018122	OG0016070	n0	Aa31LG4G8570	AT1G72060.1	CARHR064880.1	Carub.0002s1884.1.p	
N0.HOG0018123	OG0016071	n0	Aa31LG4G8590	AT1G72020.1	CARHR064830.1	Carub.0002s1880.1.p	
N0.HOG0018124	OG0016072	n0	Aa31LG4G8600	AT1G72010.1	CARHR064820.1	Carub.0002s1879.1.p	
N0.HOG0018125	OG0016073	n0	Aa31LG4G8650	AT1G71970.1	CARHR064790.1	Carub.0002s1875.1.p	
N0.HOG0018126	OG0016074	n0	Aa31LG4G8710	AT1G71910.1	CARHR064730.1	Carub.0002s1869.1.p	
N0.HOG0018127	OG0016075	n0	Aa31LG4G8850	AT1G71790.1	CARHR290990.1	Carub.0002s1855.1.p	
N0.HOG0018128	OG0016076	n0	Aa31LG4G8900	AT1G71740.1	CARHR291050.1	Carub.0002s1850.1.p	
N0.HOG0018129	OG0016077	n0	Aa31LG4G8920	AT1G71730.1	CARHR291060.1	Carub.0002s1849.1.p	
N0.HOG0018130	OG0016078	n0	Aa31LG4G9080	AT1G71520.1	CARHR291170.1	Carub.0002s1837.1.p	
N0.HOG0018131	OG0016079	n0	Aa31LG4G9120	AT1G71460.1	CARHR291210.1	Carub.0002s1831.1.p	
N0.HOG0018132	OG0016080	n0	Aa31LG4G9130	AT1G71450.1	CARHR291230.1	Carub.0002s1830.1.p	
N0.HOG0018133	OG0016081	n0	Aa31LG4G9530	AT4G24430.1	CARHR231820.1	Carub.0007s1664.1.p	
N0.HOG0018134	OG0016082	n0	Aa31LG4G9540	AT4G24440.1	CARHR231830.1	Carub.0007s1663.1.p	
N0.HOG0018135	OG0016083	n0	Aa31LG4G9600	AT4G24500.1	CARHR231890.1	Carub.0007s1657.1.p	
N0.HOG0018136	OG0016084	n0	Aa31LG4G9610	AT4G24510.1	CARHR231900.1	Carub.0007s1656.1.p	
N0.HOG0018137	OG0016085	n0	Aa31LG4G9790	AT4G24690.1	CARHR232070.1	Carub.0007s1637.1.p	
N0.HOG0018138	OG0016086	n0	Aa31LG4G10160	AT1G70895.1	CARHR064170.1	Carub.0002s1768.1.p	
N0.HOG0018139	OG0016087	n0	Aa31LG4G10190	AT1G70820.1	CARHR064080.1	Carub.0002s1757.1.p	
N0.HOG0018140	OG0016088	n0	Aa31LG4G10460	AT4G09550.2	CARHR260420.1	Carub.0006s2800.1.p	
N0.HOG0018141	OG0016089	n0	Aa31LG4G10480	AT1G70470.1	CARHR063630.1	Carub.0002s1715.1.p	
N0.HOG0018142	OG0016090	n0	Aa31LG4G10750	AT1G70150.1		Carub.0002s1684.1.p	gene-TAV2_LOCUS18140
N0.HOG0018143	OG0016091	n0	Aa31LG4G11080	AT1G69700.1	CARHR062690.1	Carub.0002s1636.1.p	
N0.HOG0018144	OG0016092	n0	Aa31LG4G11090	AT1G69690.1	CARHR062680.1	Carub.0002s1635.1.p	
N0.HOG0018145	OG0016093	n0	Aa31LG4G11140	AT1G69610.2	CARHR062560.1	Carub.0002s1628.1.p	
N0.HOG0018146	OG0016094	n0	Aa31LG4G11150	AT1G69600.1	CARHR062550.1	Carub.0002s1627.1.p	
N0.HOG0018147	OG0016095	n0	Aa31LG4G11160	AT1G69588.1	CARHR062540.1	Carub.0002s1626.1.p	
N0.HOG0018148	OG0016096	n0	Aa31LG4G11270	AT1G69520.2	CARHR062450.1	Carub.0002s1614.1.p	
N0.HOG0018149	OG0016097	n0	Aa31LG4G11440	AT1G69430.1	CARHR062320.1	Carub.0002s1603.1.p	
N0.HOG0018150	OG0016098	n0	Aa31LG4G11520	AT1G69350.1	CARHR062230.1	Carub.0002s1595.1.p	
N0.HOG0018151	OG0016099	n0	Aa31LG4G11550	AT1G69325.1	CARHR062210.1	Carub.0002s1592.1.p	
N0.HOG0018152	OG0016100	n0	Aa31LG4G11570	AT1G73820.2	CARHR066900.1	Carub.0002s2057.1.p	
N0.HOG0018153	OG0016101	n0	Aa31LG4G11580	AT1G69310.2	CARHR062180.1	Carub.0002s1590.1.p	
N0.HOG0018154	OG0016102	n0	Aa31LG4G11630	AT5G19970.1	CARHR192880.1	Carub.0006s1834.1.p	
N0.HOG0018155	OG0016103	n0	Aa31LG4G11640	AT1G69280.3		Carub.0002s1587.1.p	gene-TAV2_LOCUS17533
N0.HOG0018156	OG0016104	n0	Aa31LG4G11760	AT1G69050.1	CARHR061920.1	Carub.0002s1567.1.p	
N0.HOG0018157	OG0016105	n0	Aa31LG4G11830	AT1G69160.1	CARHR062030.1	Carub.0002s1576.1.p	
N0.HOG0018158	OG0016106	n0	Aa31LG4G11900	AT1G68238.1	CARHR060930.1	Carub.0002s1473.1.p	
N0.HOG0018159	OG0016107	n0	Aa31LG4G11910	AT1G68230.2	CARHR060920.1	Carub.0002s1472.1.p	
N0.HOG0018160	OG0016108	n0	Aa31LG4G12250	AT1G67730.1		Carub.0002s1416.1.p	gene-TAV2_LOCUS16128
N0.HOG0018161	OG0016109	n0	Aa31LG4G12280	AT1G67750.1	CARHR060370.1	Carub.0002s1418.1.p	
N0.HOG0018162	OG0016110	n0	Aa31LG4G12310	AT1G67770.1		Carub.0002s1420.1.p	gene-TAV2_LOCUS16679
N0.HOG0018163	OG0016111	n0	Aa31LG4G12560	AT5G19980.1	CARHR192870.1	Carub.0006s1835.1.p	
N0.HOG0018164	OG0016112	n0	Aa31LG4G13050	AT3G43110.1	CARHR152530.1	Carub.0005s0898.1.p	
N0.HOG0018165	OG0016113	n0	Aa31LG4G13280	AT3G42800.1	CARHR153760.1	Carub.0005s0885.1.p	
N0.HOG0018166	OG0016114	n0	Aa31LG4G13550	AT3G42960.1	CARHR152450.1	Carub.0004s1786.1.p	
N0.HOG0018167	OG0016115	n0	Aa31LG4G13790	AT1G08070.1	CARHR007890.1	Carub.0001s0742.1.p	
N0.HOG0018168	OG0016116	n0	Aa31LG4G13820	AT3G44326.1	CARHR104560.1	Carub.0005s1004.1.p	
N0.HOG0018169	OG0016117	n0	Aa31LG4G14120	AT3G45020.2	CARHR150950.1	Carub.0005s1081.1.p	
N0.HOG0018170	OG0016118	n0	Aa31LG4G14540	AT3G45230.1	CARHR150740.1	Carub.0005s1101.1.p	
N0.HOG0018171	OG0016119	n0	Aa31LG4G14570	AT3G45260.1	CARHR150650.1	Carub.0005s1112.1.p	
N0.HOG0018172	OG0016120	n0	Aa31LG4G14620	AT1G68430.1	CARHR061210.1	Carub.0002s1492.1.p	
N0.HOG0018173	OG0016121	n0	Aa31LG4G14670	AT3G45440.2	CARHR150240.1	Carub.0005s1127.1.p	
N0.HOG0018174	OG0016122	n0	Aa31LG4G14930	AT3G46770.1	CARHR154900.1	Carub.0004s2748.1.p	
N0.HOG0018175	OG0016123	n0	Aa31LG4G15150	AT4G14170.1	CARHR220200.1	Carub.0007s2822.1.p	
N0.HOG0018176	OG0016124	n0	Aa31LG4G15550	AT3G46550.1	CARHR155250.1	Carub.0005s1282.1.p	
N0.HOG0018177	OG0016125	n0	Aa31LG4G15610	AT3G46600.1	CARHR155210.1	Carub.0005s1287.1.p	
N0.HOG0018178	OG0016126	n0	Aa31LG4G15720	AT5G59210.1	CARHR285340.1	Carub.0008s1974.1.p	
N0.HOG0018179	OG0016127	n0	Aa31LG4G15730	AT3G46790.1	CARHR154870.1	Carub.0005s1304.1.p	
N0.HOG0018180	OG0016128	n0	Aa31LG4G15820	AT3G46890.1	CARHR155510.1	Carub.0005s1311.1.p	
N0.HOG0018181	OG0016129	n0	Aa31LG4G15890	AT3G46940.2	CARHR155580.1	Carub.0005s1316.1.p	
N0.HOG0018182	OG0016130	n0	Aa31LG4G15900	AT3G46960.1	CARHR155590.1	Carub.0005s1318.1.p	
N0.HOG0018183	OG0016131	n0	Aa31LG4G15930	AT3G46980.4	CARHR155620.1	Carub.0005s1320.1.p	
N0.HOG0018184	OG0016132	n0	Aa31LG4G15940	AT3G46990.1	CARHR155640.1	Carub.0005s1321.1.p	
N0.HOG0018185	OG0016133	n0	Aa31LG4G16050	AT3G47120.1	CARHR155770.1	Carub.0005s1334.1.p	
N0.HOG0018186	OG0016134	n0	Aa31LG4G16310	AT3G47520.1	CARHR156160.1	Carub.0005s1361.1.p	
N0.HOG0018187	OG0016135	n0	Aa31LG4G16320	AT3G47530.1	CARHR156170.1	Carub.0005s1362.1.p	
N0.HOG0018188	OG0016136	n0	Aa31LG4G16370	AT3G47620.1	CARHR156300.1	Carub.0005s1375.1.p	
N0.HOG0018189	OG0016137	n0	Aa31LG4G16390	AT3G47660.4	CARHR156340.1	Carub.0005s1379.1.p	
N0.HOG0018190	OG0016138	n0	Aa31LG4G16400	AT3G47670.1	CARHR156350.1	Carub.0005s1380.1.p	
N0.HOG0018191	OG0016139	n0	Aa31LG4G16470	AT3G47820.1	CARHR156500.1	Carub.0005s1393.1.p	
N0.HOG0018192	OG0016140	n0	Aa31LG4G16660	AT3G48020.1	CARHR156750.1	Carub.0005s1413.1.p	
N0.HOG0018193	OG0016141	n0	Aa31LG4G16780	AT3G48180.1	CARHR156900.1	Carub.0005s1428.1.p	
N0.HOG0018194	OG0016142	n0	Aa31LG4G16990	AT3G48420.1		Carub.0005s1458.1.p	gene-TAV2_LOCUS16670
N0.HOG0018195	OG0016143	n0	Aa31LG4G17080	AT3G48490.1		Carub.0005s1467.1.p	gene-TAV2_LOCUS17825
N0.HOG0018196	OG0016144	n0	Aa31LG4G17220	AT3G48610.1	CARHR157400.1	Carub.0005s1479.1.p	
N0.HOG0018197	OG0016145	n0	Aa31LG4G17340	AT3G48800.1	CARHR157610.1	Carub.0005s1496.1.p	
N0.HOG0018198	OG0016146	n0	Aa31LG4G17620	AT3G49170.1	CARHR158050.1	Carub.0005s1540.1.p	
N0.HOG0018199	OG0016147	n0	Aa31LG4G17640	AT3G49220.3	CARHR158080.1	Carub.0005s1545.1.p	
N0.HOG0018200	OG0016148	n0	Aa31LG4G18070	AT5G19540.1	CARHR193360.1	Carub.0006s1789.1.p	
N0.HOG0018201	OG0016149	n0	Aa31LG4G18120	AT3G49645.2	CARHR158680.1	Carub.0005s1599.1.p	
N0.HOG0018202	OG0016150	n0	Aa31LG4G18250	AT3G49760.1	CARHR158850.1	Carub.0005s1612.1.p	
N0.HOG0018203	OG0016151	n0	Aa31LG4G18400	AT3G49990.1	CARHR159060.1	Carub.0005s1635.1.p	
N0.HOG0018204	OG0016152	n0	Aa31LG4G18430	AT3G50030.1	CARHR159100.1	Carub.0005s1638.1.p	
N0.HOG0018205	OG0016153	n0	Aa31LG4G18560	AT3G50330.1	CARHR159790.1	Carub.0005s1664.1.p	
N0.HOG0018206	OG0016154	n0	Aa31LG4G18770	AT3G50610.2	CARHR160110.1	Carub.0005s1692.1.p	
N0.HOG0018207	OG0016155	n0	Aa31LG4G18810	AT3G50640.1	CARHR160150.1	Carub.0005s1696.1.p	
N0.HOG0018208	OG0016156	n0	Aa31LG4G18840	AT3G50685.1	CARHR160200.1	Carub.0005s1701.1.p	
N0.HOG0018209	OG0016157	n0	Aa31LG4G18910	AT3G50770.1	CARHR160280.1	Carub.0005s1711.1.p	
N0.HOG0018210	OG0016158	n0	Aa31LG4G18970	AT3G50850.1	CARHR160400.1	Carub.0005s1724.1.p	
N0.HOG0018211	OG0016159	n0	Aa31LG4G18990	AT3G50880.1	CARHR160430.1	Carub.0005s1727.1.p	
N0.HOG0018212	OG0016160	n0	Aa31LG4G19080	AT3G50950.1	CARHR160530.1	Carub.0005s1735.1.p	
N0.HOG0018213	OG0016161	n0	Aa31LG4G19120	AT3G51000.1	CARHR160570.1	Carub.0005s1740.1.p	
N0.HOG0018214	OG0016162	n0	Aa31LG4G19140	AT3G51030.1	CARHR160610.1	Carub.0005s1743.1.p	
N0.HOG0018215	OG0016163	n0	Aa31LG4G19250	AT3G51180.1		Carub.0005s1757.1.p	gene-TAV2_LOCUS16198
N0.HOG0018216	OG0016164	n0	Aa31LG4G19320	AT3G51320.1	CARHR160900.1	Carub.0005s1769.1.p	
N0.HOG0018217	OG0016165	n0	Aa31LG5G420	AT4G00570.1	CARHR248740.1	Carub.0006s3665.1.p	
N0.HOG0018218	OG0016166	n0	Aa31LG5G980	AT4G00980.1	CARHR267120.1		gene-TAV2_LOCUS19639
N0.HOG0018219	OG0016167	n0	Aa31LG5G1050	AT4G00890.1	CARHR212650.1	Carub.0006s3592.1.p	
N0.HOG0018220	OG0016168	n0	Aa31LG5G1250	AT4G01500.1	CARHR250180.1	Carub.0006s3570.1.p	
N0.HOG0018221	OG0016169	n0	Aa31LG5G1290	AT4G01570.1	CARHR250090.1	Carub.0006s3563.1.p	
N0.HOG0018222	OG0016170	n0	Aa31LG5G1300	AT4G01575.1	CARHR250100.1	Carub.0006s3562.1.p	
N0.HOG0018223	OG0016171	n0	Aa31LG5G1460	AT4G01895.1	CARHR249880.1	Carub.0006s3533.1.p	
N0.HOG0018224	OG0016172	n0	Aa31LG5G1620	AT4G01990.1	CARHR249690.1	Carub.0006s3524.1.p	
N0.HOG0018225	OG0016173	n0	Aa31LG5G2000	AT4G02360.1	CARHR250550.1	Carub.0006s3481.1.p	
N0.HOG0018226	OG0016174	n0	Aa31LG5G2160	AT4G02530.2	CARHR250830.1	Carub.0006s3460.1.p	
N0.HOG0018227	OG0016175	n0	Aa31LG5G2260	AT4G02630.1	CARHR250920.1	Carub.0006s3451.1.p	
N0.HOG0018228	OG0016176	n0	Aa31LG5G2270	AT4G02640.2	CARHR250940.1	Carub.0006s3449.1.p	
N0.HOG0018229	OG0016177	n0	Aa31LG5G2350	AT4G02715.1	CARHR251020.1	Carub.0006s3440.1.p	
N0.HOG0018230	OG0016178	n0	Aa31LG5G2360	AT4G02720.1	CARHR251050.1	Carub.0006s3439.1.p	
N0.HOG0018231	OG0016179	n0	Aa31LG5G2430	AT4G02810.1	CARHR251180.1	Carub.0006s3425.1.p	
N0.HOG0018232	OG0016180	n0	Aa31LG5G2540	AT4G02990.1	CARHR251380.1	Carub.0006s3406.1.p	
N0.HOG0018233	OG0016181	n0	Aa31LG5G2580	AT4G03030.1	CARHR251420.1	Carub.0006s3402.1.p	
N0.HOG0018234	OG0016182	n0	Aa31LG5G2710	AT4G03210.1	CARHR251660.1	Carub.0006s3384.1.p	
N0.HOG0018235	OG0016183	n0	Aa31LG5G2990	AT5G44265.1	CARHR178940.1	Carub.0008s0425.1.p	
N0.HOG0018236	OG0016184	n0	Aa31LG5G3000	AT5G44260.1	CARHR178950.1	Carub.0008s0426.1.p	
N0.HOG0018237	OG0016185	n0	Aa31LG5G3070	AT5G44170.1	CARHR179100.1	Carub.0008s0435.1.p	
N0.HOG0018238	OG0016186	n0	Aa31LG5G3300	AT5G43970.1	CARHR179430.1	Carub.0008s0458.1.p	
N0.HOG0018239	OG0016187	n0	Aa31LG5G3480	AT5G43790.1	CARHR179690.1	Carub.0008s0485.1.p	
N0.HOG0018240	OG0016188	n0	Aa31LG5G3690	AT5G43420.1	CARHR180180.1	Carub.0008s0518.1.p	
