ATfeature,refGene,Aar,Ath,Bra,Chi,Cru,Csa,Sal,Tar
ENY,AT5G66730.1,Aa31LG1G15270,AT5G66730.1,,CARHR280990.1,Carub.0008s2777.1.p,,,gene-TAV2_LOCUS6910
PCMP-E13,AT5G56310.1,,AT5G56310.1,,CARHR269710.1,Carub.0008s1663.1.p,,,gene-TAV2_LOCUS18905
GAMT2,AT5G56300.1,,AT5G56300.1,,CARHR269700.1,Carub.0008s1662.1.p,,,gene-TAV2_LOCUS18906
AT5G65685,AT5G65685.5,Aa31LG1G16370,AT5G65685.5,,CARHR279670.1,Carub.0008s2658.1.p,,,gene-TAV2_LOCUS6225
HSP18.1,AT5G59720.1,,AT5G59720.1,,CARHR273300.1,Carub.0008s2036.1.p,,,gene-TAV2_LOCUS20706
AT5G52780,AT5G52780.1,Aa31LG3G9020,AT5G52780.1,,CARHR265730.1,Carub.0008s1294.1.p,,,gene-TAV2_LOCUS18695
AT5G58375,AT5G58375.1,Aa31LG11G170,AT5G58375.1,,CARHR272210.1,Carub.0008s1896.1.p,,,gene-TAV2_LOCUS18445
HOS15,AT5G67320.1,Aa31LG1G15870,AT5G67320.1,,CARHR280290.1,Carub.0008s2717.1.p,,,gene-TAV2_LOCUS7399
ATXR7,AT5G42400.2,Aa31LG9G12550,AT5G42400.2,,CARHR285110.1,Carub.0008s0676.1.p,,,gene-TAV2_LOCUS23399
PER69,AT5G64100.1,,AT5G64100.1,,CARHR278010.1,Carub.0008s2488.1.p,,,gene-TAV2_LOCUS6785
IAA9,AT5G65670.1,Aa31LG1G16400,AT5G65670.1,,CARHR279630.1,Carub.0008s2654.1.p,,,gene-TAV2_LOCUS6352
ECT10,AT5G58190.2,,AT5G58190.2,,CARHR271990.1,Carub.0008s1873.1.p,,,
AT5G60580,AT5G60580.4,Aa31LG1G12560,AT5G60580.4,,CARHR274240.1,Carub.0008s2126.1.p,,,gene-TAV2_LOCUS19093
LBD37,AT5G67420.2,Aa31LG1G15980,AT5G67420.2,,CARHR280170.1,Carub.0008s2705.1.p,,,gene-TAV2_LOCUS7893
WOX8,AT5G45980.1,Aa31LG9G6920,AT5G45980.1,,CARHR175940.1,Carub.0008s0194.1.p,,,gene-TAV2_LOCUS5326
AT5G51170,AT5G51170.1,Aa31LG3G7670,AT5G51170.1,,CARHR256880.1,Carub.0008s1121.1.p,,,gene-TAV2_LOCUS19656
BI-1,AT5G47120.1,Aa31sc58G60,AT5G47120.1,,CARHR174270.1,Carub.0008s0063.1.p,,,
AFB5,AT5G49980.1,,AT5G49980.1,,CARHR258730.1,Carub.0008s0988.1.p,,,gene-TAV2_LOCUS22146
BZIP15,AT5G42910.1,,AT5G42910.1,,CARHR181180.1,Carub.0008s0588.1.p,,,
AT5G54090,AT5G54090.1,Aa31LG3G9940,AT5G54090.1,,CARHR267280.1,Carub.0008s1437.1.p,,,gene-TAV2_LOCUS19077
AT5G54095,AT5G54095.1,,AT5G54095.1,,CARHR267290.1,Carub.0008s1438.1.p,,,
AT5G37050,AT5G37050.1,,,,,,,,
SNX2A,AT5G58440.1,Aa31LG11G220,AT5G58440.1,,,Carub.0008s1903.1.p,,,gene-TAV2_LOCUS18451
AVT3A,AT5G65990.1,Aa31LG1G14500,AT5G65990.1,,CARHR281770.1,Carub.0008s2853.1.p,,,gene-TAV2_LOCUS6148
AT5G42830,AT5G42830.1,Aa31LG9G12900,AT5G42830.1,,"CARHR181320.1, CARHR181400.1",Carub.0008s0608.1.p,,,gene-TAV2_LOCUS6879
AT5G63520,AT5G63520.1,Aa31LG1G18420,AT5G63520.1,,CARHR277380.1,Carub.0008s2425.1.p,,,"gene-TAV2_LOCUS19293, gene-TAV2_LOCUS5990"
PIP2-4,AT5G60660.1,Aa31LG1G12600,AT5G60660.1,,CARHR274340.1,Carub.0008s2134.1.p,,,gene-TAV2_LOCUS20560
TIC20-V,AT5G55710.1,Aa31LG3G11630,AT5G55710.1,,CARHR269030.1,Carub.0008s1608.1.p,,,gene-TAV2_LOCUS21938
AT5G66950,AT5G66950.1,,AT5G66950.1,,CARHR280730.1,Carub.0008s2755.1.p,,,
AT5G53030,AT5G53030.1,Aa31LG3G9450,AT5G53030.1,,CARHR266040.1,Carub.0008s1322.1.p,,,gene-TAV2_LOCUS20733
AT5G44690,AT5G44690.1,Aa31LG9G8480,AT5G44690.1,,,Carub.0008s0357.1.p,,,gene-TAV2_LOCUS6886
AT5G44585,AT5G44585.1,,AT5G44585.1,,CARHR178370.1,"Carub.0008s0376.1.p, Carub.0008s0377.1.p",,,gene-TAV2_LOCUS7728
AT5G48130,AT5G48130.1,,AT5G48130.1,,CARHR184210.1,Carub.0008s0771.1.p,,,
AT5G58090,AT5G58090.1,Aa31LG3G13940,AT5G58090.1,,CARHR271910.1,Carub.0008s1865.1.p,,,gene-TAV2_LOCUS21397
FRL3,AT5G48385.1,Aa31LG3G2860,AT5G48385.1,,CARHR183810.1,Carub.0008s0797.1.p,,,gene-TAV2_LOCUS5108
CPN60B3,AT5G56500.2,,AT5G56500.2,,CARHR270140.1,Carub.0008s1698.1.p,,,gene-TAV2_LOCUS19569
COR27,AT5G42900.2,Aa31LG9G12960,AT5G42900.2,,CARHR181240.1,Carub.0008s0601.1.p,,,gene-TAV2_LOCUS5799
CTPA1,AT5G46390.2,Aa31LG9G6460,AT5G46390.2,,CARHR175380.1,Carub.0008s0150.1.p,,,
AT,AT5G46400.1,Aa31LG9G6450,AT5G46400.1,,CARHR175370.1,Carub.0008s0149.1.p,,,gene-TAV2_LOCUS5140
LECRK17,AT5G60270.1,,AT5G60270.1,,"CARHR273930.1, CARHR273950.1",Carub.0008s2099.1.p,,,gene-TAV2_LOCUS21281
LECRK110,AT5G60310.1,,AT5G60310.1,,,Carub.0008s2102.1.p,,,
MYB49,AT5G54230.1,Aa31LG3G10190,AT5G54230.1,,CARHR267490.1,Carub.0008s1457.1.p,,,gene-TAV2_LOCUS22200
AT5G53680,AT5G53680.1,,AT5G53680.1,,,Carub.0008s1401.1.p,,,gene-TAV2_LOCUS20551
AT5G53720,AT5G53720.1,,AT5G53720.1,,CARHR266850.1,,,,
AT5G58280,AT5G58280.2,,AT5G58280.2,,CARHR272080.1,Carub.0008s1882.1.p,,,gene-TAV2_LOCUS8433
EXO84B,AT5G49830.2,Aa31sc221G70,AT5G49830.2,,CARHR258890.1,Carub.0008s0971.1.p,,,gene-TAV2_LOCUS20991
SHI,AT5G66350.1,Aa31LG1G14880,AT5G66350.1,,CARHR281360.1,Carub.0008s2816.1.p,,,gene-TAV2_LOCUS5734
GLR1.2,AT5G48400.2,Aa31LG3G2820,"AT5G48400.2, AT5G48410.1",,"CARHR183770.1, CARHR183780.1","Carub.0008s0799.1.p, Carub.0008s0800.1.p",,,gene-TAV2_LOCUS5110
GLR1.3,AT5G48410.1,Aa31LG3G2820,"AT5G48400.2, AT5G48410.1",,"CARHR183770.1, CARHR183780.1","Carub.0008s0799.1.p, Carub.0008s0800.1.p",,,gene-TAV2_LOCUS5110
ABCG28,AT5G60740.1,Aa31LG1G12700,AT5G60740.1,,CARHR274420.1,Carub.0008s2142.1.p,,,gene-TAV2_LOCUS22059
NBP35,AT5G50960.1,Aa31LG11G15090,AT5G50960.1,,CARHR257250.1,Carub.0008s1098.1.p,,,gene-TAV2_LOCUS11082
RH32,AT5G54910.1,Aa31LG3G10840,AT5G54910.1,,CARHR268250.1,Carub.0008s1521.1.p,,,gene-TAV2_LOCUS22034
RPL24,AT5G54600.1,Aa31LG3G10550,AT5G54600.1,,CARHR267890.1,Carub.0008s1487.1.p,,,gene-TAV2_LOCUS18834
AT5G60500,AT5G60500.1,Aa31LG1G12510,"AT5G60500.1, AT5G60510.1",,CARHR274170.1,"Carub.0008s2119.1.p, Carub.0008s2120.1.p",,,gene-TAV2_LOCUS19095
AT5G60510,AT5G60510.1,Aa31LG1G12510,"AT5G60500.1, AT5G60510.1",,CARHR274170.1,"Carub.0008s2119.1.p, Carub.0008s2120.1.p",,,gene-TAV2_LOCUS19095
AZF1,AT5G67450.1,Aa31LG1G16010,AT5G67450.1,,CARHR280140.1,Carub.0008s2702.1.p,,,
AT5G61470,AT5G61470.1,,AT5G61470.1,,CARHR275240.1,Carub.0008s2216.1.p,,,
NFYB2,AT5G47640.1,Aa31sc662G10,AT5G47640.1,,CARHR173670.1,Carub.0008s0014.1.p,,,gene-TAV2_LOCUS5808
AT5G51160,AT5G51160.1,,AT5G51160.1,,CARHR256890.1,Carub.0008s1120.1.p,,,gene-TAV2_LOCUS19280
AT5G54370,AT5G54370.1,"Aa31LG3G10300, Aa31LG3G10310",AT5G54370.1,,CARHR267630.1,Carub.0008s1470.1.p,,,gene-TAV2_LOCUS20746
AT5G62280,AT5G62280.1,Aa31LG11G1320,AT5G62280.1,,CARHR276060.1,Carub.0008s2297.1.p,,,gene-TAV2_LOCUS7140
ABR1,AT5G64750.1,Aa31LG1G17160,AT5G64750.1,,CARHR278740.1,Carub.0008s2556.1.p,,,gene-TAV2_LOCUS7275
AT5G64030,AT5G64030.1,Aa31LG1G17880,AT5G64030.1,,CARHR277940.1,Carub.0008s2481.1.p,,,gene-TAV2_LOCUS7557
AT5G53070,AT5G53070.1,Aa31LG3G9400,AT5G53070.1,,CARHR266090.1,Carub.0008s1327.1.p,,,gene-TAV2_LOCUS22193
AT5G53080,AT5G53080.1,Aa31LG3G9390,AT5G53080.1,,CARHR266100.1,Carub.0008s1328.1.p,,,gene-TAV2_LOCUS22192
AT5G53140,AT5G53140.2,,AT5G53140.2,,,Carub.0008s1334.1.p,,,gene-TAV2_LOCUS22188
QS,AT5G50210.1,Aa31sc402G20,AT5G50210.1,,CARHR258410.1,Carub.0008s1022.1.p,,,gene-TAV2_LOCUS21638
SAL2,AT5G64000.1,,AT5G64000.1,,CARHR277920.1,Carub.0008s2478.1.p,,,
TZF5,AT5G44260.1,Aa31LG5G3000,AT5G44260.1,,CARHR178950.1,Carub.0008s0426.1.p,,,
BFT,AT5G62040.1,Aa31LG11G1490,AT5G62040.1,,CARHR275830.1,Carub.0008s2272.1.p,,,gene-TAV2_LOCUS7856
FTSH11,AT5G53170.1,Aa31LG3G9310,AT5G53170.1,,CARHR266240.1,Carub.0008s1337.1.p,,,gene-TAV2_LOCUS21693
AT5G61370,AT5G61370.1,Aa31LG11G2050,AT5G61370.1,,CARHR275130.1,Carub.0008s2204.1.p,,,
ECT3,AT5G61020.1,Aa31LG2G1960,AT5G61020.1,,CARHR274730.1,Carub.0008s2171.1.p,,,gene-TAV2_LOCUS16299
AT5G45540,AT5G45540.1,,AT5G45540.1,,CARHR176480.1,Carub.0008s0248.1.p,,,gene-TAV2_LOCUS7316
AT5G65170,AT5G65170.1,Aa31LG1G16790,AT5G65170.1,,CARHR279090.1,Carub.0008s2602.1.p,,,
HAP8,AT5G56250.1,,AT5G56250.1,,CARHR269650.1,Carub.0008s1657.1.p,,,gene-TAV2_LOCUS18902
RTL3,AT5G45150.1,,AT5G45150.1,,,Carub.0008s0303.1.p,,,"gene-TAV2_LOCUS6037, gene-TAV2_LOCUS6038"
AT5G51850,AT5G51850.1,Aa31LG3G8290,AT5G51850.1,,CARHR264740.1,Carub.0008s1189.1.p,,,gene-TAV2_LOCUS21788
LIG4,AT5G57160.1,Aa31LG3G13060,AT5G57160.1,,CARHR270950.1,Carub.0008s1767.1.p,,,"gene-TAV2_LOCUS22268, gene-TAV2_LOCUS22268"
AT5G57170,AT5G57170.2,Aa31LG3G13070,AT5G57170.2,,"CARHR270940.1, CARHR270960.1",Carub.0008s1768.1.p,,,
AT5G63270,AT5G63270.1,Aa31LG1G18740,AT5G63270.1,,CARHR277120.1,Carub.0008s2402.1.p,,,
AT5G53100,AT5G53100.1,,AT5G53100.1,,CARHR266120.1,Carub.0008s1330.1.p,,,
GAUT12,AT5G54690.1,Aa31LG3G10620,AT5G54690.1,,CARHR268000.1,Carub.0008s1495.1.p,,,gene-TAV2_LOCUS19817
AT5G59000,AT5G59000.1,Aa31LG1G11700,AT5G59000.1,,CARHR285230.1,Carub.0008s1964.1.p,,,gene-TAV2_LOCUS19037
AT5G64430,AT5G64430.1,Aa31LG1G17470,AT5G64430.1,,CARHR278400.1,Carub.0008s2523.1.p,,,
AT5G51560,AT5G51560.1,Aa31LG3G7990,AT5G51560.1,,CARHR264360.1,Carub.0008s1160.1.p,,,gene-TAV2_LOCUS20160
PBL19,AT5G47070.1,Aa31LG9G5910,AT5G47070.1,,CARHR174330.1,Carub.0008s0075.1.p,,,gene-TAV2_LOCUS5967
ATBAG2,AT5G62100.1,,AT5G62100.1,,CARHR275890.1,Carub.0008s2278.1.p,,,gene-TAV2_LOCUS6658
AT5G58660,AT5G58660.1,Aa31LG11G440,AT5G58660.1,,"CARHR099100.1, CARHR272520.1",Carub.0008s1928.1.p,,,gene-TAV2_LOCUS21047
ARI14,AT5G63730.1,,AT5G63730.1,,,Carub.0008s2450.1.p,,,
ARI13,AT5G63750.1,,"AT5G63750.1, AT5G63760.2",,CARHR277670.1,"Carub.0008s2452.1.p, Carub.0008s2453.1.p",,,gene-TAV2_LOCUS6811
ARI15,AT5G63760.2,,"AT5G63750.1, AT5G63760.2",,CARHR277670.1,"Carub.0008s2452.1.p, Carub.0008s2453.1.p",,,gene-TAV2_LOCUS6811
AT5G65120,AT5G65120.1,Aa31LG1G16850,AT5G65120.1,,CARHR279030.1,Carub.0008s2596.1.p,,,gene-TAV2_LOCUS5727
VHA-E1,AT5G55290.1,Aa31LG3G11260,"AT5G55290.1, AT4G26710.1",,"CARHR234330.1, CARHR268660.1","Carub.0008s1562.1.p, Carub.0007s1413.1.p",,,
AT5G45460,AT5G45460.1,,,,,,,,
AT5G45470,AT5G45470.1,"Aa31LG9G7540, Aa31LG9G7540",AT5G45470.1,,CARHR176560.1,"Carub.0008s0255.1.p, Carub.0008s0258.1.p",,,gene-TAV2_LOCUS6173
AT5G45480,AT5G45480.1,Aa31LG9G7530,AT5G45480.1,,CARHR176550.1,"Carub.0008s0254.1.p, Carub.0008s0257.1.p",,,gene-TAV2_LOCUS6166
AT5G48657,AT5G48657.5,Aa31sc571G10,AT5G48657.5,,CARHR183260.1,Carub.0008s0835.1.p,,,gene-TAV2_LOCUS5920
AT5G61820,AT5G61820.2,Aa31LG11G1670,AT5G61820.2,,CARHR275580.1,"Carub.0008s2251.1.p, Carub.0008s2252.1.p",,,gene-TAV2_LOCUS5508
TRB2,AT5G67580.1,Aa31LG1G16130,AT5G67580.1,,CARHR280010.1,Carub.0008s2689.1.p,,,gene-TAV2_LOCUS6605
AT1G03670,AT1G03670.1,,AT1G03670.1,,CARHR002990.1,Carub.0008s1779.1.p,,,gene-TAV2_LOCUS1217
AT5G51670,AT5G51670.1,Aa31LG3G8100,AT5G51670.1,,CARHR264450.1,Carub.0008s1169.1.p,,,gene-TAV2_LOCUS18899
AT5G50560,AT5G50560.1,,"AT5G50560.1, AT5G50660.1",,CARHR288570.1,Carub.0008s1065.1.p,,,gene-TAV2_LOCUS21964
AT5G50660,AT5G50660.1,,"AT5G50560.1, AT5G50660.1",,CARHR288570.1,Carub.0008s1065.1.p,,,gene-TAV2_LOCUS21964
PAP29,AT5G63140.1,Aa31LG1G18830,AT5G63140.1,,CARHR276980.1,Carub.0008s2390.1.p,,,"gene-TAV2_LOCUS6287, gene-TAV2_LOCUS6288"
TCP5,AT5G60970.1,Aa31LG11G2320,AT5G60970.1,,CARHR274660.1,Carub.0008s2166.1.p,,,
AT5G44568,AT5G44568.1,,"AT5G44568.1, AT1G22890.1",,CARHR178460.1,Carub.0008s0384.1.p,,,gene-TAV2_LOCUS6525
AT5G50740,AT5G50740.3,Aa31LG3G7070,AT5G50740.3,,CARHR257590.1,Carub.0008s1073.1.p,,,gene-TAV2_LOCUS21764
ERF114,AT5G61890.1,Aa31LG11G1620,AT5G61890.1,,CARHR275650.1,Carub.0008s2257.1.p,,,gene-TAV2_LOCUS7496
FRO6,AT5G49730.1,Aa31sc75G60,"AT5G49730.1, AT5G49740.1",,CARHR259040.1,Carub.0008s0961.1.p,,,gene-TAV2_LOCUS20872
FRO7,AT5G49740.1,Aa31sc75G60,"AT5G49730.1, AT5G49740.1",,CARHR259040.1,Carub.0008s0961.1.p,,,gene-TAV2_LOCUS20872
AT5G47970,AT5G47970.1,,AT5G47970.1,,CARHR184310.1,Carub.0008s0751.1.p,,,gene-TAV2_LOCUS8042
AT5G46230,AT5G46230.1,Aa31LG9G6640,AT5G46230.1,,CARHR175560.1,Carub.0008s0168.1.p,,,
RPA1C,AT5G45400.1,Aa31LG9G7600,AT5G45400.1,,CARHR176670.1,Carub.0008s0271.1.p,,,
RBOHC,AT5G51060.1,Aa31LG3G7550,AT5G51060.1,,CARHR257030.1,Carub.0008s1106.1.p,,,gene-TAV2_LOCUS19072
AT5G61290,AT5G61290.1,,AT5G61290.1,,"CARHR275050.1, CARHR275040.1",Carub.0008s2197.1.p,,,gene-TAV2_LOCUS7223
AT5G61560,AT5G61560.3,Aa31LG11G1860,AT5G61560.3,,CARHR275330.1,Carub.0008s2225.1.p,,,gene-TAV2_LOCUS7818
AT5G54350,AT5G54350.1,,AT5G54350.1,,,,,,
ZHD13,AT5G42780.1,Aa31LG9G12840,AT5G42780.1,,CARHR181740.1,Carub.0008s0613.1.p,,,gene-TAV2_LOCUS25739
AT5G55950,AT5G55950.1,Aa31LG3G11860,AT5G55950.1,,CARHR269320.1,Carub.0008s1628.1.p,,,gene-TAV2_LOCUS22182
FLS6,AT5G43935.1,,AT5G43935.1,,,"Carub.0008s0463.1.p, Carub.0008s0464.1.p",,,
FLS5,AT5G63600.2,,AT5G63600.2,,"CARHR102940.1, CARHR277460.1, CARHR277470.1, CARHR277480.1","Carub.0008s2432.1.p, Carub.0008s2434.1.p, Carub.0008s2436.1.p",,,
AIL7,AT5G65510.2,,AT5G65510.2,,CARHR279490.1,Carub.0008s2637.1.p,,,gene-TAV2_LOCUS4961
GRF8,AT5G65430.3,Aa31LG1G16580,AT5G65430.3,,CARHR279410.1,Carub.0008s2628.1.p,,,gene-TAV2_LOCUS6960
HIPL2,AT5G62630.1,Aa31LG11G1010,AT5G62630.1,,CARHR276440.1,Carub.0008s2339.1.p,,,gene-TAV2_LOCUS5389
AMK2,AT5G47840.1,Aa31LG3G14110,AT5G47840.1,,CARHR184380.1,Carub.0008s0733.1.p,,,gene-TAV2_LOCUS6641
HVA22I,AT5G42560.1,Aa31LG9G12640,AT5G42560.1,,CARHR181820.1,Carub.0008s0646.1.p,,,gene-TAV2_LOCUS6977
AtMYB78,AT5G49620.2,,AT5G49620.2,,CARHR185560.1,Carub.0008s0948.1.p,,,gene-TAV2_LOCUS6794
AT5G43580,AT5G43580.1,Aa31LG5G3620,AT5G43580.1,,CARHR180000.1,"Carub.0008s0505.1.p, Carub.0008s0506.1.p",,,
ALIS2,AT5G46150.1,Aa31LG9G6760,AT5G46150.1,,CARHR175650.1,Carub.0008s0177.1.p,,,gene-TAV2_LOCUS6027
AT5G55110,AT5G55110.1,Aa31LG3G11030,AT5G55110.1,,CARHR268450.1,Carub.0008s1540.1.p,,,gene-TAV2_LOCUS19125
AGD9,AT5G46750.1,,AT5G46750.1,,CARHR174750.1,Carub.0008s0117.1.p,,,
AT4,AT5G55350.1,Aa31LG3G11370,"AT5G55350.1, AT5G55360.1",,"CARHR268690.1, CARHR268700.1","Carub.0008s1568.1.p, Carub.0008s1571.1.p",,,"gene-TAV2_LOCUS21159, gene-TAV2_LOCUS21161"
AT3,AT5G55360.1,Aa31LG3G11370,"AT5G55350.1, AT5G55360.1",,"CARHR268690.1, CARHR268700.1","Carub.0008s1568.1.p, Carub.0008s1571.1.p",,,"gene-TAV2_LOCUS21159, gene-TAV2_LOCUS21161"
AT5G51780,AT5G51780.2,Aa31LG3G8230,AT5G51780.2,,CARHR264660.1,Carub.0008s1180.1.p,,,gene-TAV2_LOCUS20314
AT5G50780,AT5G50780.1,Aa31LG3G7100,AT5G50780.1,,CARHR257520.1,Carub.0008s1068.1.p,,,gene-TAV2_LOCUS19205
ORP4C,AT5G57240.3,Aa31LG3G13130,AT5G57240.3,,CARHR271040.1,Carub.0008s1774.1.p,,,gene-TAV2_LOCUS18498
AT5G52670,AT5G52670.1,,"AT5G52670.1, AT5G52720.2",,CARHR265660.1,Carub.0008s1281.1.p,,,gene-TAV2_LOCUS20934
AT5G52720,AT5G52720.2,,"AT5G52670.1, AT5G52720.2",,CARHR265660.1,Carub.0008s1281.1.p,,,gene-TAV2_LOCUS20934
HIPP12,AT5G52740.1,,AT5G52740.1,,,Carub.0008s1288.1.p,,,
DIT2-2,AT5G64280.1,Aa31LG1G17620,AT5G64280.1,,CARHR278190.1,Carub.0008s2507.1.p,,,gene-TAV2_LOCUS5620
AT5G45850,AT5G45850.1,Aa31LG9G7210,AT5G45850.1,,CARHR176120.1,Carub.0008s0211.1.p,,,gene-TAV2_LOCUS7672
PLC5,AT5G58690.1,,AT5G58690.1,,CARHR272600.1,Carub.0008s1931.1.p,,,gene-TAV2_LOCUS21041
APUM20,AT1G21620.1,"Aa31LG1G11610, Aa31LG1G12760","AT1G21620.1, AT1G35850.1, AT5G59280.1, AT5G60110.1, AT5G60180.1",,"CARHR036840.1, CARHR157270.1, CARHR183820.1, CARHR273750.1, CARHR273860.1, CARHR285940.1","Carub.0008s1994.1.p, Carub.0008s2083.1.p, Carub.0008s2091.1.p",,,"gene-TAV2_LOCUS18666, gene-TAV2_LOCUS18780, gene-TAV2_LOCUS18782, gene-TAV2_LOCUS19986, gene-TAV2_LOCUS20183"
APUM17,AT1G35850.1,"Aa31LG1G11610, Aa31LG1G12760","AT1G21620.1, AT1G35850.1, AT5G59280.1, AT5G60110.1, AT5G60180.1",,"CARHR036840.1, CARHR157270.1, CARHR183820.1, CARHR273750.1, CARHR273860.1, CARHR285940.1","Carub.0008s1994.1.p, Carub.0008s2083.1.p, Carub.0008s2091.1.p",,,"gene-TAV2_LOCUS18666, gene-TAV2_LOCUS18780, gene-TAV2_LOCUS18782, gene-TAV2_LOCUS19986, gene-TAV2_LOCUS20183"
APUM16,AT5G59280.1,"Aa31LG1G11610, Aa31LG1G12760","AT1G21620.1, AT1G35850.1, AT5G59280.1, AT5G60110.1, AT5G60180.1",,"CARHR036840.1, CARHR157270.1, CARHR183820.1, CARHR273750.1, CARHR273860.1, CARHR285940.1","Carub.0008s1994.1.p, Carub.0008s2083.1.p, Carub.0008s2091.1.p",,,"gene-TAV2_LOCUS18666, gene-TAV2_LOCUS18780, gene-TAV2_LOCUS18782, gene-TAV2_LOCUS19986, gene-TAV2_LOCUS20183"
APUM18,AT5G60110.1,"Aa31LG1G11610, Aa31LG1G12760","AT1G21620.1, AT1G35850.1, AT5G59280.1, AT5G60110.1, AT5G60180.1",,"CARHR036840.1, CARHR157270.1, CARHR183820.1, CARHR273750.1, CARHR273860.1, CARHR285940.1","Carub.0008s1994.1.p, Carub.0008s2083.1.p, Carub.0008s2091.1.p",,,"gene-TAV2_LOCUS18666, gene-TAV2_LOCUS18780, gene-TAV2_LOCUS18782, gene-TAV2_LOCUS19986, gene-TAV2_LOCUS20183"
APUM19,AT5G60180.1,"Aa31LG1G11610, Aa31LG1G12760","AT1G21620.1, AT1G35850.1, AT5G59280.1, AT5G60110.1, AT5G60180.1",,"CARHR036840.1, CARHR157270.1, CARHR183820.1, CARHR273750.1, CARHR273860.1, CARHR285940.1","Carub.0008s1994.1.p, Carub.0008s2083.1.p, Carub.0008s2091.1.p",,,"gene-TAV2_LOCUS18666, gene-TAV2_LOCUS18780, gene-TAV2_LOCUS18782, gene-TAV2_LOCUS19986, gene-TAV2_LOCUS20183"
IDL2,AT5G64667.1,,AT5G64667.1,,CARHR278640.1,Carub.0008s2546.1.p,,,
SBT4.7,AT5G58820.1,,AT5G58820.1,,,Carub.0008s1945.1.p,,,
SBT4.8,AT5G58830.1,,"AT5G58830.1, AT5G58840.1",,"CARHR272750.1, CARHR272770.1",Carub.0008s1946.1.p,,,gene-TAV2_LOCUS22103
SBT4.9,AT5G58840.1,,"AT5G58830.1, AT5G58840.1",,"CARHR272750.1, CARHR272770.1",Carub.0008s1946.1.p,,,gene-TAV2_LOCUS22103
SBT4.12,AT5G59090.1,Aa31LG8G12990,"AT5G59090.1, AT5G59120.1",,CARHR285480.1,"Carub.0008s1983.1.p, Carub.0008s1985.1.p",,,
SBT4.13,AT5G59120.1,Aa31LG8G12990,"AT5G59090.1, AT5G59120.1",,CARHR285480.1,"Carub.0008s1983.1.p, Carub.0008s1985.1.p",,,
SBT4.11,AT5G59130.4,,AT5G59130.4,,CARHR285410.1,Carub.0008s1982.1.p,,,
AT5G44520,AT5G44520.2,Aa31LG9G8690,AT5G44520.2,,CARHR178590.1,Carub.0008s0398.1.p,,,gene-TAV2_LOCUS5365
AT5G62150,AT5G62150.1,Aa31LG11G1420,AT5G62150.1,,CARHR275920.1,Carub.0008s2282.1.p,,,
TRX3,AT5G42980.1,Aa31LG9G13100,AT5G42980.1,,CARHR181040.1,Carub.0008s0577.1.p,,,gene-TAV2_LOCUS7717
VIII-2,AT5G54280.2,Aa31LG3G10240,AT5G54280.2,,CARHR267570.1,Carub.0008s1463.1.p,,,gene-TAV2_LOCUS20369
AT5G66800,AT5G66800.1,Aa31LG1G15350,AT5G66800.1,,CARHR280900.1,Carub.0008s2771.1.p,,,gene-TAV2_LOCUS7277
AT5G64190,AT5G64190.2,Aa31LG1G17710,AT5G64190.2,,,Carub.0008s2498.1.p,,,gene-TAV2_LOCUS6777
AT5G54130,AT5G54130.2,Aa31LG3G9910,AT5G54130.2,,CARHR267320.1,Carub.0008s1442.1.p,,,gene-TAV2_LOCUS19080
HIR4,AT5G51570.1,Aa31LG3G8010,AT5G51570.1,,CARHR264370.1,Carub.0008s1161.1.p,,,gene-TAV2_LOCUS20161
AT5G50020,AT5G50020.2,Aa31sc47G20,AT5G50020.2,,CARHR258640.1,Carub.0008s0993.1.p,,,gene-TAV2_LOCUS22148
AT5G50030,AT5G50030.1,Aa31sc47G40,AT5G50030.1,,CARHR258630.1,Carub.0008s0994.1.p,,,
AT5G53750,AT5G53750.1,Aa31LG3G10160,AT5G53750.1,,CARHR266900.1,Carub.0008s1405.1.p,,,gene-TAV2_LOCUS22130
CSTF50,AT5G60940.1,Aa31LG11G2360,AT5G60940.1,,CARHR274620.1,Carub.0008s2163.1.p,,,gene-TAV2_LOCUS8059
AT5G62330,AT5G62330.1,,,,,,,,
AT5G62340,AT5G62340.1,,AT5G62340.1,,CARHR276120.1,Carub.0008s2302.1.p,,,
AT5G43210,AT5G43210.1,Aa31LG9G13290,AT5G43210.1,,,Carub.0008s0547.1.p,,,gene-TAV2_LOCUS8056
RH31,AT5G63630.2,Aa31LG1G18250,AT5G63630.2,,CARHR277510.1,Carub.0008s2439.1.p,,,
AT5G63620,AT5G63620.1,Aa31LG1G18290,AT5G63620.1,,CARHR277500.1,Carub.0008s2438.1.p,,,
ENODL10,AT5G57920.3,Aa31LG3G13750,AT5G57920.3,,CARHR271700.1,Carub.0008s1845.1.p,,,
APO2,AT5G57930.2,,AT5G57930.2,,CARHR271710.1,Carub.0008s1846.1.p,,,gene-TAV2_LOCUS20539
CNGC5,AT5G57940.1,,AT5G57940.1,,CARHR271720.1,Carub.0008s1847.1.p,,,
CGR3,AT5G65810.1,,AT5G65810.1,,CARHR279820.1,Carub.0008s2670.1.p,,,gene-TAV2_LOCUS5440
AT5G65820,AT5G65820.1,Aa31LG1G16260,AT5G65820.1,,CARHR279810.1,Carub.0008s2671.1.p,,,
